,anime_id,name,genre,rating
0,32281,Kimi no Na wa.,"Drama, Romance, School, Supernatural",9.37
1,5114,Fullmetal Alchemist: Brotherhood,"Action, Adventure, Drama, Fantasy, Magic, Military, Shounen",9.26
2,28977,Gintama°,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",9.25
3,9253,Steins;Gate,"Sci-Fi, Thriller",9.17
4,9969,Gintama&#039;,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",9.16
5,32935,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,"Comedy, Drama, School, Shounen, Sports",9.15
6,11061,Hunter x Hunter (2011),"Action, Adventure, Shounen, Super Power",9.13
7,820,Ginga Eiyuu Densetsu,"Drama, Military, Sci-Fi, Space",9.11
8,15335,Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",9.1
9,15417,Gintama&#039;: Enchousen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",9.11
10,4181,Clannad: After Story,"Drama, Fantasy, Romance, Slice of Life, Supernatural",9.06
11,28851,Koe no Katachi,"Drama, School, Shounen",9.05
12,918,Gintama,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",9.04
13,2904,Code Geass: Hangyaku no Lelouch R2,"Action, Drama, Mecha, Military, Sci-Fi, Super Power",8.98
14,28891,Haikyuu!! Second Season,"Comedy, Drama, School, Shounen, Sports",8.93
15,199,Sen to Chihiro no Kamikakushi,"Adventure, Drama, Supernatural",8.93
16,23273,Shigatsu wa Kimi no Uso,"Drama, Music, Romance, School, Shounen",8.92
17,24701,Mushishi Zoku Shou 2nd Season,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",8.88
18,12355,Ookami Kodomo no Ame to Yuki,"Fantasy, Slice of Life",8.84
19,1575,Code Geass: Hangyaku no Lelouch,"Action, Mecha, Military, School, Sci-Fi, Super Power",8.83
20,263,Hajime no Ippo,"Comedy, Drama, Shounen, Sports",8.83
21,44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,"Action, Drama, Historical, Martial Arts, Romance, Samurai",8.83
22,1,Cowboy Bebop,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",8.82
23,30276,One Punch Man,"Action, Comedy, Parody, Sci-Fi, Seinen, Super Power, Supernatural",8.82
24,164,Mononoke Hime,"Action, Adventure, Fantasy",8.81
25,7311,Suzumiya Haruhi no Shoushitsu,"Comedy, Mystery, Romance, School, Sci-Fi, Supernatural",8.81
26,17074,Monogatari Series: Second Season,"Comedy, Mystery, Romance, Supernatural, Vampire",8.8
27,21939,Mushishi Zoku Shou,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",8.8
28,457,Mushishi,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",8.78
29,2001,Tengen Toppa Gurren Lagann,"Action, Adventure, Comedy, Mecha, Sci-Fi",8.78
30,245,Great Teacher Onizuka,"Comedy, Drama, School, Shounen, Slice of Life",8.77
31,5258,Hajime no Ippo: New Challenger,"Comedy, Drama, Shounen, Sports",8.75
32,28957,Mushishi Zoku Shou: Suzu no Shizuku,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",8.75
33,11665,Natsume Yuujinchou Shi,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",8.75
34,431,Howl no Ugoku Shiro,"Adventure, Drama, Fantasy, Romance",8.74
